position,name,sofascore_name,id,season,matches,minutes,goals,assists,General_ASR,total_shots,shots_on_target,big_chances_missed,key_passes,big_chances_created,dribbles,accurate_passes,Passing_APS%,accurate_long_balls,Passing_LBA%,accurate_crosses,Passing_CA%,clean_sheets,yellow_cards,red_cards,errors_leading_to_goal,dribbled_past,tackles,interceptions,blocked_shots,aerial_duels_won,xGoals,xAssists,goal_involvements,expected_goal_involvements
Defender,Alfonso Pedraza,alfonso-pedraza,797290,23/24,24,1333,1,3,,9,4,1,22,6,11,426,79.9,14,26.4,19.0,24.4,1,7,1,0,10,31,16,3,6,0.6,2.41,4,3.01
Defender,Alfonso Pedraza,alfonso-pedraza,797290,24/25,9,275,0,0,,3,2,0,5,0,5,78,75.0,2,14.3,5.0,23.8,0,0,0,0,2,3,4,1,4,0.37,0.89,0,1.26
Midfielder,Santi Comesaña,santi-comesana,843678,23/24,36,2138,3,0,,25,9,3,20,3,28,1025,87.5,54,70.1,1.0,10.0,3,9,2,0,25,50,23,6,37,2.52,1.61,3,4.13
Midfielder,Santi Comesaña,santi-comesana,843678,24/25,34,2418,3,2,,36,7,3,26,3,16,1103,85.6,56,60.2,5.0,35.7,3,8,0,0,30,85,17,8,31,4.05,2.4,5,6.45
Defender,Logan Costa,logan-costa,911853,23/24,38,3278,1,1,,15,5,3,7,1,7,1734,83.2,138,47.9,2.0,11.1,7,7,1,0,11,54,28,2,74,1.39,0.85,2,2.23
Defender,Logan Costa,logan-costa,911853,24/25,31,2450,2,0,,11,5,0,4,1,0,1266,87.1,101,50.8,1.0,20.0,5,2,0,0,4,39,22,0,47,0.68,0.51,2,1.19
Defender,Kiko Femenia,kiko-femenia,53739,23/24,29,2011,0,1,,2,0,0,10,2,8,986,85.8,48,45.7,5.0,12.5,4,8,1,0,16,39,37,0,16,0.01,1.03,1,1.04
Defender,Kiko Femenia,kiko-femenia,53739,24/25,28,2229,0,1,,3,0,1,16,3,17,1134,90.4,43,60.6,17.0,36.2,3,7,0,0,24,50,40,1,6,0.36,2.13,1,2.49
Midfielder,Pape Gueye,pape-gueye,879694,23/24,15,778,1,0,,8,2,0,4,1,1,395,83.0,32,50.8,0.0,,0,2,0,0,6,33,13,3,15,0.44,0.45,1,0.89
Midfielder,Pape Gueye,pape-gueye,879694,24/25,32,2094,3,0,,50,15,1,17,2,10,851,81.7,85,54.1,5.0,25.0,0,4,2,1,8,53,25,13,30,2.52,1.95,3,4.47
