position,name,sofascore_name,id,season,matches,minutes,goals,assists,General_ASR,total_shots,shots_on_target,big_chances_missed,key_passes,big_chances_created,dribbles,accurate_passes,Passing_APS%,accurate_long_balls,Passing_LBA%,accurate_crosses,Passing_CA%,clean_sheets,yellow_cards,red_cards,errors_leading_to_goal,dribbled_past,tackles,interceptions,blocked_shots,aerial_duels_won,xGoals,xAssists,goal_involvements,expected_goal_involvements,clean_sheets,goals_conceded,saves,prct_saves,penalties_saved,Goalkeeping_PS%
Defender,Alfonso Pedraza,alfonso-pedraza,797290,23/24,24,1333,1.0,3.0,,9.0,4.0,1.0,22.0,6.0,11.0,426.0,79.9,14.0,26.4,19.0,24.4,1.0,7.0,1.0,0.0,10.0,31.0,16.0,3.0,6.0,0.6,2.41,4.0,3.01,,,,,,
Defender,Alfonso Pedraza,alfonso-pedraza,797290,24/25,9,275,0.0,0.0,,3.0,2.0,0.0,5.0,0.0,5.0,78.0,75.0,2.0,14.3,5.0,23.8,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,4.0,0.37,0.89,0.0,1.26,,,,,,
Midfielder,Santi Comesaña,santi-comesana,843678,23/24,36,2138,3.0,0.0,,25.0,9.0,3.0,20.0,3.0,28.0,1025.0,87.5,54.0,70.1,1.0,10.0,3.0,9.0,2.0,0.0,25.0,50.0,23.0,6.0,37.0,2.52,1.61,3.0,4.13,,,,,,
Midfielder,Santi Comesaña,santi-comesana,843678,24/25,34,2418,3.0,2.0,,36.0,7.0,3.0,26.0,3.0,16.0,1103.0,85.6,56.0,60.2,5.0,35.7,3.0,8.0,0.0,0.0,30.0,85.0,17.0,8.0,31.0,4.05,2.4,5.0,6.45,,,,,,
Defender,Logan Costa,logan-costa,911853,23/24,38,3278,1.0,1.0,,15.0,5.0,3.0,7.0,1.0,7.0,1734.0,83.2,138.0,47.9,2.0,11.1,7.0,7.0,1.0,0.0,11.0,54.0,28.0,2.0,74.0,1.39,0.85,2.0,2.23,,,,,,
Defender,Logan Costa,logan-costa,911853,24/25,31,2450,2.0,0.0,,11.0,5.0,0.0,4.0,1.0,0.0,1266.0,87.1,101.0,50.8,1.0,20.0,5.0,2.0,0.0,0.0,4.0,39.0,22.0,0.0,47.0,0.68,0.51,2.0,1.19,,,,,,
Defender,Kiko Femenia,kiko-femenia,53739,23/24,29,2011,0.0,1.0,,2.0,0.0,0.0,10.0,2.0,8.0,986.0,85.8,48.0,45.7,5.0,12.5,4.0,8.0,1.0,0.0,16.0,39.0,37.0,0.0,16.0,0.01,1.03,1.0,1.04,,,,,,
Defender,Kiko Femenia,kiko-femenia,53739,24/25,28,2229,0.0,1.0,,3.0,0.0,1.0,16.0,3.0,17.0,1134.0,90.4,43.0,60.6,17.0,36.2,3.0,7.0,0.0,0.0,24.0,50.0,40.0,1.0,6.0,0.36,2.13,1.0,2.49,,,,,,
Midfielder,Pape Gueye,pape-gueye,879694,23/24,15,778,1.0,0.0,,8.0,2.0,0.0,4.0,1.0,1.0,395.0,83.0,32.0,50.8,0.0,,0.0,2.0,0.0,0.0,6.0,33.0,13.0,3.0,15.0,0.44,0.45,1.0,0.89,,,,,,
Midfielder,Pape Gueye,pape-gueye,879694,24/25,32,2094,3.0,0.0,,50.0,15.0,1.0,17.0,2.0,10.0,851.0,81.7,85.0,54.1,5.0,25.0,0.0,4.0,2.0,1.0,8.0,53.0,25.0,13.0,30.0,2.52,1.95,3.0,4.47,,,,,,
Forward,Thierno Barry,thierno-barry,1395746,24/25,38,2542,16.0,3.0,,89.0,33.0,17.0,24.0,6.0,16.0,240.0,63.3,5.0,62.5,3.0,33.3,2.0,4.0,0.0,0.0,7.0,17.0,0.0,11.0,112.0,12.18,1.53,19.0,13.71,,,,,,
Midfielder,Dani Parejo,dani-parejo,39182,23/24,41,3164,4.0,5.0,,18.0,7.0,0.0,42.0,6.0,21.0,1978.0,90.2,143.0,74.1,26.0,33.8,4.0,5.0,0.0,1.0,32.0,52.0,25.0,4.0,27.0,3.2,4.72,9.0,7.92,,,,,,
