name,team,position,total_points,games_played,current_value,max_value_1y,season,possible_value_improvement,points_per_value,points_per_game,current_team
Raphinha,Barcelona,Forward,338,33,22260000,23780000.0,24/25,1520000.0,15.18,10.24,Barcelona
Mbappé,Real Madrid,Forward,326,32,27400000,27500000.0,24/25,100000.0,11.9,10.19,Real Madrid
Yamal,Barcelona,Forward,298,32,25310000,25310000.0,24/25,0.0,11.77,9.31,Barcelona
Pedri,Barcelona,Midfielder,280,34,22050000,22050000.0,24/25,0.0,12.7,8.24,Barcelona
Lewandowski,Barcelona,Forward,264,31,19750000,23300000.0,24/25,3550000.0,13.37,8.52,Barcelona
Valverde,Real Madrid,Midfielder,263,34,19070000,19560000.0,24/25,490000.0,13.79,7.74,Real Madrid
Budimir,Osasuna,Forward,250,35,14800000,15620000.0,24/25,820000.0,16.89,7.14,Osasuna
Baena,Villarreal,Midfielder,248,30,17510000,19190000.0,24/25,1680000.0,14.16,8.27,Villarreal
Bellingham,Real Madrid,Midfielder,239,30,20700000,23820000.0,24/25,3120000.0,11.55,7.97,Real Madrid
Joan García,Espanyol,Goalkeeper,232,35,11160000,11160000.0,24/25,0.0,20.79,6.63,Espanyol
Julián Alvarez,Atlético,Forward,231,34,18510000,19470000.0,24/25,960000.0,12.48,6.79,Atlético
Vinícius Jr,Real Madrid,Forward,227,29,17510000,25650000.0,24/25,8140000.0,12.96,7.83,Real Madrid
Griezmann,Atlético,Forward,224,35,10100000,18400000.0,24/25,8300000.0,22.18,6.4,Atlético
Ayoze,Villarreal,Forward,223,29,19040000,19040000.0,24/25,0.0,11.71,7.69,Villarreal
Lukébakio,Sevilla,Forward,220,36,11440000,15100000.0,24/25,3660000.0,19.23,6.11,Sevilla
Modric,Real Madrid,Midfielder,219,33,8080000,12880000.0,24/25,4800000.0,27.1,6.64,Real Madrid
Rodrygo,Real Madrid,Forward,217,30,10340000,18650000.0,24/25,8310000.0,20.99,7.23,Real Madrid
Rubén García,Osasuna,Midfielder,205,34,7210000,7210000.0,24/25,0.0,28.43,6.03,Osasuna
Sergio Gómez,Real Sociedad,Midfielder,200,35,9630000,10390000.0,24/25,760000.0,20.77,5.71,Real Sociedad
Sørloth,Atlético,Forward,200,32,8680000,18530000.0,24/25,9850000.0,23.04,6.25,Atlético
Iago Aspas,Celta,Forward,196,28,10320000,16950000.0,24/25,6630000.0,18.99,7.0,Celta
Kubo,Real Sociedad,Midfielder,194,34,13260000,16710000.0,24/25,3450000.0,14.63,5.71,Real Sociedad
Koundé,Barcelona,Defender,194,32,8620000,12600000.0,24/25,3980000.0,22.51,6.06,Barcelona
Kike García,Alavés,Forward,194,33,5500000,5500000.0,24/25,0.0,35.27,5.88,Alavés
Sergio Herrera,Osasuna,Goalkeeper,190,34,4350000,5420000.0,24/25,1070000.0,43.68,5.59,Osasuna
Iñaki Williams,Athletic,Forward,189,33,9390000,18020000.0,24/25,8630000.0,20.13,5.73,Athletic
Raíllo,Mallorca,Defender,189,34,7010000,8850000.0,24/25,1840000.0,26.96,5.56,Mallorca
Darder,Mallorca,Midfielder,188,36,7270000,7270000.0,24/25,0.0,25.86,5.22,Mallorca
Sancet,Athletic,Midfielder,187,26,13450000,16960000.0,24/25,3510000.0,13.9,7.19,Athletic
Marcos Llorente,Atlético,Midfielder,185,30,9950000,9950000.0,24/25,0.0,18.59,6.17,Atlético
Mingueza,Celta,Defender,184,32,6660000,8780000.0,24/25,2120000.0,27.63,5.75,Celta
Sergi Cardona,Villarreal,Defender,184,34,5090000,7050000.0,24/25,1960000.0,36.15,5.41,Villarreal
Barry,Villarreal,Forward,184,33,4600000,6350000.0,24/25,1750000.0,40.0,5.58,Villarreal
Comesaña,Villarreal,Midfielder,183,34,6430000,6430000.0,24/25,0.0,28.46,5.38,Villarreal
Lo Celso,Betis,Midfielder,182,23,12500000,19220000.0,24/25,6720000.0,14.56,7.91,Betis
Tenaglia,Alavés,Defender,182,32,4670000,4670000.0,24/25,0.0,38.97,5.69,Alavés
Parejo,Villarreal,Midfielder,181,34,7610000,12560000.0,24/25,4950000.0,23.78,5.32,Villarreal
Berenguer,Athletic,Forward,181,33,6410000,10400000.0,24/25,3990000.0,28.24,5.48,Athletic
Lejeune,Rayo Vallecano,Defender,181,34,6390000,7470000.0,24/25,1080000.0,28.33,5.32,Rayo Vallecano
Raba,Leganés,Forward,181,27,5850000,6530000.0,24/25,680000.0,30.94,6.7,Leganés
Dani Rodríguez,Mallorca,Midfielder,180,35,5140000,6720000.0,24/25,1580000.0,35.02,5.14,Mallorca
Aimar Oroz,Osasuna,Midfielder,179,34,8060000,8060000.0,24/25,0.0,22.21,5.26,Osasuna
Álvaro García,Rayo Vallecano,Forward,179,33,6250000,6550000.0,24/25,300000.0,28.64,5.42,Rayo Vallecano
Rioja,Valencia,Forward,179,35,5170000,6290000.0,24/25,1120000.0,34.62,5.11,Valencia
Zubimendi,Real Sociedad,Midfielder,175,34,9680000,12840000.0,24/25,3160000.0,18.08,5.15,Real Sociedad
Isco,Betis,Midfielder,174,19,22470000,22970000.0,24/25,500000.0,7.74,9.16,Betis
Arambarri,Getafe,Midfielder,173,32,9710000,10920000.0,24/25,1210000.0,17.82,5.41,Getafe
Luis Milla,Getafe,Midfielder,172,31,9500000,9510000.0,24/25,10000.0,18.11,5.55,Getafe
Carlos Vicente,Alavés,Forward,172,35,6280000,6280000.0,24/25,0.0,27.39,4.91,Alavés
Sandro,Las Palmas,Forward,172,31,4440000,9530000.0,24/25,5090000.0,38.74,5.55,Las Palmas
Vivian,Athletic,Defender,171,29,8540000,8950000.0,24/25,410000.0,20.02,5.9,Athletic
Borja Iglesias,Celta,Forward,171,35,6270000,6670000.0,24/25,400000.0,27.27,4.89,Celta
Dani Olmo,Barcelona,Midfielder,170,22,15610000,18100000.0,24/25,2490000.0,10.89,7.73,Barcelona
De Paul,Atlético,Midfielder,170,31,9110000,12730000.0,24/25,3620000.0,18.66,5.48,Atlético
David Soria,Getafe,Goalkeeper,170,35,3940000,4920000.0,24/25,980000.0,43.15,4.86,Getafe
Ferran Torres,Barcelona,Forward,169,27,11410000,11410000.0,24/25,0.0,14.81,6.26,Barcelona
Puado,Espanyol,Forward,169,32,6910000,6910000.0,24/25,0.0,24.46,5.28,Espanyol
Cabrera,Espanyol,Defender,169,31,5320000,5320000.0,24/25,0.0,31.77,5.45,Espanyol
