name,current_season_points,market_value,game_t-1,game_t-2,game_t-3,game_t-4,game_t-5,season
Guaita,144,"€2,020,000",9,10,4,5,0,2024
Luiz Júnior,87,"€2,490,000",11,4,5,6,8,2024
Valjent,152,"€4,380,000",15,4,4,7,6,2024
Carlos Romero,143,"€3,970,000",5,3,5,3,7,2024
Fran García,136,"€4,820,000",9,2,4,5,0,2024
Bartra,133,"€5,970,000",3,6,3,7,4,2024
Yeray,116,"€2,930,000",5,6,0,5,0,2024
Sergio Gómez,200,"€9,340,000",6,4,7,6,4,2024
Lo Celso,184,"€12,580,000",2,4,16,6,4,2024
Moleiro,157,"€7,110,000",2,8,3,4,3,2024
André Almeida,141,"€2,860,000",6,4,1,7,0,2024
Fornals,113,"€3,560,000",2,3,0,1,6,2024
Lukébakio,220,"€11,480,000",5,3,1,-3,2,2024
Iñaki Williams,189,"€9,050,000",3,14,3,0,0,2024
Hugo Duro,156,"€4,760,000",2,9,17,4,1,2024
Jesús Rodríguez,78,"€7,000,000",3,1,3,10,2,2024
