current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,15/16,6.57,15,788,2,1,15,2,6,3,1,15,1,13,0,7,161,62.2,4,50.0,0,,1,2,0,0,5,6,3,1,24,2,,1,,3,
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,16/17,6.83,27,1005,3,3,27,3,33,10,5,27,3,14,4,25,229,62.6,6,60.0,3,27.3,0,2,0,0,3,8,2,5,57,3,,3,,6,
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,17/18,6.95,6,466,0,0,6,0,7,3,1,6,0,10,1,12,87,62.1,3,42.9,0,,0,1,0,0,9,6,2,1,26,0,,0,,0,
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,18/19,6.72,16,504,1,1,16,1,18,6,4,16,1,12,2,3,119,68.8,0,,1,33.3,2,0,0,0,2,7,0,4,29,1,,1,,2,
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,19/20,7.25,40,3352,25,10,40,25,108,47,20,40,10,43,11,64,582,71.5,11,52.4,6,20.7,4,2,1,0,18,26,1,20,124,25,,10,,35,
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,20/21,6.91,37,1730,6,4,37,6,58,22,8,37,4,36,2,31,392,75.1,5,50.0,3,13.6,3,2,0,0,12,12,4,12,96,6,,4,,10,
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,21/22,6.71,44,2278,8,1,44,8,56,21,14,44,1,30,6,47,421,74.4,8,50.0,0,,5,2,0,0,11,22,4,15,68,8,,1,,9,
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,22/23,6.79,47,3161,16,4,47,16,86,39,28,47,4,42,10,41,454,70.2,9,64.3,2,22.2,1,6,0,0,10,24,2,11,81,16,13.78,4,2.14,20,15.92
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,23/24,7.15,40,2903,26,6,40,26,91,40,17,40,6,41,7,35,404,76.4,4,36.4,3,37.5,3,5,0,0,4,6,1,23,90,26,13.75,6,4.06,32,17.80
Atletico Madrid,Forward,Alexander Sorloth,alexander-sorloth,309078,24/25,6.89,47,1979,21,2,47,21,88,41,23,47,2,18,3,22,295,67.7,5,62.5,2,33.3,1,5,0,0,3,13,5,21,107,21,15.06,2,0.82,23,15.88
