current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,15/16,7.07,36,3240,3,1,36,3,15,5,2,36,1,5,1,7,1813,87.5,111,49.6,0,,8,1,0,0,15,43,102,0,101,3,,1,,4,
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,16/17,7.13,41,3712,4,0,41,4,20,5,1,41,0,7,3,7,2231,91.5,108,54.8,0,,10,1,0,2,11,65,97,4,104,4,,0,,4,
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,17/18,6.96,39,3024,0,0,39,0,16,2,4,39,0,7,1,8,1799,93.3,90,69.2,,,9,0,0,2,10,35,51,2,71,0,,0,,0,
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,18/19,7.01,29,2439,0,1,29,0,7,2,3,29,1,4,0,4,1899,93.0,79,65.8,0,,13,3,0,0,7,32,34,0,72,0,,1,,1,
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,19/20,6.86,28,2342,0,0,28,0,9,2,1,28,0,4,2,4,1541,92.0,66,50.8,,,4,5,0,0,8,46,34,1,81,0,,0,,0,
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,20/21,6.97,27,2161,0,0,27,0,4,0,0,27,0,6,0,7,1581,89.9,79,54.9,,,12,3,1,1,13,20,34,1,61,0,,0,,0,
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,21/22,7.06,34,2583,2,1,34,2,9,3,2,34,1,10,1,10,2123,90.9,93,55.0,3,75.0,14,2,0,1,7,33,42,1,76,2,,1,,3,
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,22/23,7.00,32,2339,1,1,32,1,14,6,1,32,1,9,1,3,1882,93.6,88,67.2,0,,8,3,0,0,6,29,26,4,53,1,1.11,1,0.97,2,2.08
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,23/24,6.95,42,2789,3,2,42,3,19,6,0,42,2,11,2,4,2129,94.4,63,70.8,,,5,8,0,0,15,43,32,7,85,3,1.66,2,1.05,5,2.70
Barcelona,Defender,Andreas Christensen,andreas-christensen,186795,24/25,6.68,4,159,0,0,4,0,,,0,4,0,0,0,0,123,93.2,,,,,0,2,0,0,0,2,2,,8,0,,0,0.14,0,0.14
