current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,15/16,6.72,34,2136,0,2,34,0,17,3,1,34,2,23,6,52,1002,80.9,70,63.1,6,31.6,2,10,1,0,60,70,38,6,18,0,,2,,2,
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,16/17,7.16,32,2436,2,2,32,2,37,16,1,32,2,44,1,84,1179,81.1,123,64.1,11,29.7,5,9,0,0,68,98,57,6,13,2,,2,,4,
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,17/18,6.95,21,890,2,0,21,2,16,6,0,21,0,17,0,23,813,92.4,53,84.1,3,21.4,1,0,0,0,22,23,11,4,,2,,0,,2,
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,18/19,6.96,33,1908,3,2,33,3,36,8,2,33,2,39,2,20,1492,93.0,75,88.2,6,37.5,4,5,0,0,24,50,21,18,13,3,,2,,5,
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,19/20,6.92,37,2343,2,2,37,2,24,6,1,37,2,40,2,43,1545,88.7,118,69.0,17,18.5,3,2,0,0,66,61,44,11,12,2,,2,,4,
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,20/21,6.97,40,2375,0,3,40,0,17,4,0,40,3,41,6,39,1634,87.6,99,66.0,13,31.7,5,5,1,2,39,52,54,4,16,0,,3,,3,
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,21/22,6.71,18,362,0,1,18,0,11,4,2,18,1,4,1,7,269,89.7,11,68.8,0,,1,1,0,0,8,12,5,5,1,0,,1,,1,
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,22/23,6.94,46,1960,1,9,46,1,24,9,0,46,9,45,6,48,1676,91.5,85,78.0,7,36.8,3,9,0,1,47,56,35,7,5,1,1.12,9,2.02,10,3.15
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,23/24,6.84,27,881,1,2,27,1,10,2,0,27,2,15,2,8,766,91.8,30,75.0,3,14.3,2,2,0,1,14,16,5,4,3,1,0.51,2,1.46,3,1.98
Real Madrid,Midfielder,Dani Ceballos,dani-ceballos,547838,24/25,7.04,37,1771,0,2,37,0,10,3,0,37,2,28,5,12,1629,94.5,68,75.6,7,38.9,2,5,0,1,28,59,17,2,2,0,0.42,2,2.44,2,2.86
