current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,15/16,7.04,30,2320,1,4,30,1,11,2,0,30,4,40,6,30,1267,88.7,47,62.7,33,34.0,12,9,0,0,27,45,55,1,29,1,,4,,5,
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,16/17,7.01,40,3399,0,11,40,0,16,6,2,40,11,54,6,43,1811,87.0,110,67.9,25,22.5,8,15,0,0,28,99,72,2,44,0,,11,,11,
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,17/18,7.18,38,3204,0,7,38,0,21,10,3,38,7,51,12,45,1976,86.9,115,68.9,33,25.2,9,16,1,1,23,87,60,3,34,0,,7,,7,
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,18/19,7.08,35,2960,1,5,35,1,17,7,1,35,5,43,6,43,1858,86.8,116,71.6,11,12.8,10,12,0,0,32,64,43,3,27,1,,5,,6,
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,19/20,7.20,42,3753,1,7,42,1,24,13,2,42,7,58,11,35,2419,86.7,137,63.4,26,18.1,20,13,0,0,35,85,48,4,41,1,,7,,8,
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,20/21,7.09,15,1119,0,2,15,0,9,2,1,15,2,11,2,9,684,85.4,40,63.5,8,25.0,3,5,0,0,9,30,15,5,15,0,,2,,2,
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,21/22,7.06,36,2598,1,4,36,1,15,4,1,36,4,39,7,18,1427,87.1,81,72.3,16,25.8,9,4,0,0,26,59,34,2,25,1,,4,,5,
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,22/23,6.80,45,3246,0,4,45,0,15,0,2,45,4,35,5,11,1834,87.1,88,62.4,10,12.5,5,11,1,0,34,58,27,5,21,0,0.94,4,4.01,4,4.95
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,23/24,7.27,41,3359,6,6,41,6,28,13,4,41,6,40,4,14,1626,86.1,56,54.9,11,17.5,10,8,1,1,28,84,32,5,44,6,2.34,6,3.60,12,5.93
Real Madrid,Defender,Daniel Carvajal,daniel-carvajal,138572,24/25,7.27,11,878,1,1,11,1,4,1,0,11,1,8,0,2,499,87.2,19,70.4,3,12.0,3,2,0,0,5,24,15,1,9,1,1.36,1,0.45,2,1.81
