current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Real Madrid,Defender,David Alaba,david-alaba,66492,15/16,7.14,41,3512,2,3,41,2,47,11,0,41,3,29,3,20,3084,92.3,117,59.1,11,27.5,18,2,0,3,14,36,59,16,38,2,,3,,5,
Real Madrid,Defender,David Alaba,david-alaba,66492,16/17,7.13,44,3618,4,6,44,4,49,16,0,44,6,50,9,15,2346,89.2,98,58.3,36,25.2,18,2,0,0,11,50,78,10,34,4,,6,,10,
Real Madrid,Defender,David Alaba,david-alaba,66492,17/18,7.03,36,2637,2,4,36,2,39,11,1,36,4,39,7,13,1485,87.9,35,49.3,36,23.2,11,1,0,1,12,33,20,15,26,2,,4,,6,
Real Madrid,Defender,David Alaba,david-alaba,66492,18/19,7.13,43,3631,3,7,43,3,55,19,1,43,7,49,11,37,2092,85.0,83,44.4,33,21.0,13,4,0,0,19,52,53,9,47,3,,7,,10,
Real Madrid,Defender,David Alaba,david-alaba,66492,19/20,7.13,42,3693,2,2,42,2,32,9,0,42,2,31,6,12,3195,90.5,192,60.0,17,38.6,18,1,0,0,12,40,36,9,33,2,,2,,4,
Real Madrid,Defender,David Alaba,david-alaba,66492,20/21,6.99,45,3793,2,4,45,2,38,11,2,45,4,39,3,19,2731,86.4,151,49.0,7,14.3,11,7,0,0,20,53,58,8,31,2,,4,,6,
Real Madrid,Defender,David Alaba,david-alaba,66492,21/22,6.98,46,4070,3,4,46,3,30,8,1,46,4,28,5,5,2555,92.2,78,45.6,8,13.6,16,4,0,1,14,44,37,12,22,3,,4,,7,
Real Madrid,Defender,David Alaba,david-alaba,66492,22/23,6.86,39,3002,2,3,39,2,22,7,1,39,3,24,2,6,1681,89.8,41,38.7,13,27.1,8,4,0,0,16,28,24,3,16,2,1.06,3,2.70,5,3.76
Real Madrid,Defender,David Alaba,david-alaba,66492,23/24,7.08,17,1407,0,2,17,0,18,4,1,17,2,12,3,1,984,91.4,41,49.4,5,20.8,5,3,0,1,4,14,18,4,12,0,1.35,2,1.12,2,2.47
Real Madrid,Defender,David Alaba,david-alaba,66492,24/25,6.62,14,600,0,0,14,0,,,0,14,0,2,0,0,369,91.8,11,34.4,2,28.6,0,2,0,0,2,3,8,,6,0,,0,0.15,0,0.15
