current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Betis,Defender,Diego Llorente,diego-llorente,305278,15/16,6.83,33,2876,2,0,33,2,14,6,0,33,0,2,0,22,1129,79.6,120,48.4,0,,6,11,1,0,23,60,104,4,99,2,,0,,2,
Betis,Defender,Diego Llorente,diego-llorente,305278,16/17,6.83,27,2208,2,0,27,2,10,5,4,27,0,3,0,1,743,79.1,67,41.6,0,,6,3,1,0,12,43,81,1,65,2,,0,,2,
Betis,Defender,Diego Llorente,diego-llorente,305278,17/18,7.11,34,2913,7,1,34,7,31,12,1,34,1,2,1,19,1730,89.4,161,62.2,0,,7,9,1,0,17,39,60,1,77,7,,1,,8,
Betis,Defender,Diego Llorente,diego-llorente,305278,18/19,6.89,23,1935,0,0,23,0,7,1,0,23,0,2,0,2,1009,85.0,94,52.8,1,50.0,7,7,0,0,14,31,29,1,64,0,,0,,0,
Betis,Defender,Diego Llorente,diego-llorente,305278,19/20,6.71,30,2417,1,1,30,1,11,4,3,30,1,5,1,8,1479,87.4,83,45.9,0,,7,6,1,2,12,32,29,1,75,1,,1,,2,
Betis,Defender,Diego Llorente,diego-llorente,305278,20/21,7.02,16,1295,1,0,16,1,8,3,1,16,0,4,1,6,646,83.2,43,47.3,0,,4,1,0,0,14,35,22,3,36,1,,0,,1,
Betis,Defender,Diego Llorente,diego-llorente,305278,21/22,6.87,31,2537,3,0,31,3,11,4,1,31,0,5,1,8,1241,82.0,99,44.0,0,,5,7,0,0,15,56,48,1,59,3,,0,,3,
Betis,Defender,Diego Llorente,diego-llorente,305278,22/23,6.71,25,1682,0,0,25,0,10,1,0,25,0,1,0,4,888,85.1,63,50.0,0,,4,2,0,2,13,30,33,2,41,0,1.19,0,0.14,0,1.33
Betis,Defender,Diego Llorente,diego-llorente,305278,23/24,6.92,41,2874,1,2,41,1,10,4,0,41,2,6,2,3,1925,90.8,97,52.4,0,,7,7,0,0,15,42,34,4,67,1,0.54,2,0.52,3,1.06
Betis,Defender,Diego Llorente,diego-llorente,305278,24/25,7.04,42,3345,2,0,42,2,18,9,2,42,0,8,0,7,1889,87.7,116,43.9,0,,12,6,0,0,14,49,66,5,99,2,1.80,0,0.45,2,2.25
