current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Celta,Forward,Iago Aspas,iago-aspas,19356,15/16,7.15,35,2668,14,4,35,14,80,34,11,35,4,51,8,27,725,77.5,37,69.8,9,23.1,2,8,0,0,16,23,14,11,20,14,,4,,18,
Celta,Forward,Iago Aspas,iago-aspas,19356,16/17,7.18,49,3606,26,6,49,26,121,59,13,49,6,76,11,57,1182,76.3,47,53.4,8,23.5,5,14,1,0,29,30,19,21,30,26,,6,,32,
Celta,Forward,Iago Aspas,iago-aspas,19356,17/18,7.56,37,3090,23,5,37,23,99,46,13,37,5,72,16,61,1026,79.1,54,71.1,11,17.7,7,9,0,1,31,26,26,23,16,23,,5,,28,
Celta,Forward,Iago Aspas,iago-aspas,19356,18/19,7.59,29,2368,21,6,29,21,73,34,4,29,6,58,11,21,746,81.5,42,84.0,6,18.8,3,5,0,0,19,18,19,16,25,21,,6,,27,
Celta,Forward,Iago Aspas,iago-aspas,19356,19/20,7.09,38,3319,14,3,38,14,85,40,11,38,3,60,6,54,1001,77.1,42,60.9,5,19.2,6,9,0,0,34,29,22,19,30,14,,3,,17,
Celta,Forward,Iago Aspas,iago-aspas,19356,20/21,7.48,34,2898,14,15,34,14,51,28,7,34,15,66,18,60,986,79.1,50,80.6,7,25.0,6,9,0,0,21,11,17,7,17,14,,15,,29,
Celta,Forward,Iago Aspas,iago-aspas,19356,21/22,7.32,38,3116,18,6,38,18,90,41,10,38,6,57,8,52,942,75.6,48,64.0,16,14.7,6,8,0,0,20,14,11,25,23,18,,6,,24,
Celta,Forward,Iago Aspas,iago-aspas,19356,22/23,7.17,39,2959,12,3,39,12,80,33,11,39,3,87,11,23,960,79.4,61,76.3,7,15.2,6,4,0,0,20,9,9,13,31,12,11.07,3,5.42,15,16.49
Celta,Forward,Iago Aspas,iago-aspas,19356,23/24,7.52,36,2741,9,10,36,9,80,28,9,36,10,91,21,29,907,78.3,46,56.8,43,28.5,1,6,1,0,14,11,10,18,9,9,11.47,10,9.31,19,20.78
Celta,Forward,Iago Aspas,iago-aspas,19356,24/25,7.22,29,1699,9,4,29,9,50,23,3,29,4,37,7,12,622,76.2,52,66.7,3,23.1,1,4,1,0,11,13,8,8,8,9,8.49,4,3.62,13,12.11
