current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,15/16,6.81,31,2005,10,4,31,10,53,18,3,31,4,20,7,32,339,66.7,12,48.0,12,19.0,1,3,1,0,16,27,14,12,11,10,,4,,14,
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,16/17,6.62,49,3622,8,6,49,8,87,39,9,49,6,48,4,58,683,68.7,17,34.7,29,21.3,5,5,0,0,22,46,17,22,41,8,,6,,14,
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,17/18,6.74,49,3734,10,6,49,10,95,33,18,49,6,41,10,73,684,75.8,19,59.4,18,20.2,6,3,0,0,54,38,22,21,51,10,,6,,16,
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,18/19,7.02,41,3177,15,4,41,15,78,36,16,41,4,31,4,56,512,70.3,8,57.1,7,20.0,5,3,0,0,19,29,7,19,82,15,,4,,19,
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,19/20,6.82,46,3627,9,3,46,9,69,29,7,46,3,38,9,59,615,76.1,15,53.6,16,22.5,5,5,0,0,19,18,5,19,81,9,,3,,12,
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,20/21,6.82,46,2957,8,7,46,8,70,24,5,46,7,35,9,39,421,69.1,11,57.9,14,24.1,0,1,0,0,14,12,6,22,48,8,,7,,15,
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,21/22,6.88,44,3292,8,5,44,8,106,40,18,44,5,37,13,34,475,67.8,15,55.6,8,14.3,6,6,0,0,14,20,4,31,56,8,,5,,13,
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,22/23,6.89,42,3237,11,5,42,11,92,39,15,42,5,45,13,50,584,70.5,16,48.5,15,14.4,2,2,0,0,19,23,8,20,42,11,10.70,5,4.12,16,14.82
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,23/24,7.33,39,3187,14,5,39,14,103,48,13,39,5,54,12,58,684,73.5,9,37.5,23,18.9,8,4,0,0,23,24,15,19,37,14,9.44,5,5.76,19,15.21
Athletic club,Midfielder,Inaki Williams,inaki-williams,783374,24/25,7.10,48,3812,11,9,48,11,101,34,18,48,9,59,19,55,716,71.3,14,36.8,30,16.7,11,4,0,0,15,28,17,19,42,11,11.04,9,6.62,20,17.67
