current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,15/16,6.76,20,747,1,0,20,1,17,5,0,20,0,10,0,8,356,81.5,30,56.6,4,13.8,1,1,0,0,6,26,8,4,10,1,,0,,1,
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,16/17,7.09,37,3100,2,3,37,2,42,7,0,37,3,34,2,52,1263,78.7,108,54.3,7,25.9,8,6,0,0,33,103,58,16,59,2,,3,,5,
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,17/18,6.93,27,2187,1,2,27,1,23,5,0,27,2,32,5,28,999,82.8,74,58.3,8,20.5,3,8,1,0,31,52,30,5,36,1,,2,,3,
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,18/19,6.71,35,2769,2,2,35,2,24,4,0,35,2,18,3,29,1282,85.1,71,58.2,1,5.0,8,12,1,0,38,78,26,11,40,2,,2,,4,
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,19/20,6.86,33,2468,0,2,33,0,28,7,0,33,2,34,1,27,1430,86.0,102,61.1,7,43.8,4,7,0,0,33,38,20,5,34,0,,2,,2,
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,20/21,6.89,30,1877,0,5,30,0,25,4,1,30,5,23,3,27,985,85.0,55,54.5,6,19.4,4,9,0,0,26,31,17,10,38,0,,5,,5,
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,21/22,6.83,26,1602,0,1,26,0,9,3,0,26,1,14,2,28,721,83.2,48,59.3,2,10.5,1,6,1,0,19,42,27,2,23,0,,1,,1,
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,22/23,6.86,32,2648,0,1,32,0,12,2,0,32,1,22,2,20,1083,84.5,80,61.1,11,19.6,7,13,0,0,33,58,33,4,23,0,0.31,1,1.80,1,2.11
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,23/24,7.02,35,2418,1,2,35,1,16,3,0,35,2,37,6,24,1136,84.0,74,60.2,25,37.9,5,9,0,0,26,59,16,4,25,1,0.33,2,2.48,3,2.81
Athletic club,Midfielder,Inigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,96365,24/25,6.92,37,2305,0,4,37,0,18,2,0,37,4,40,4,22,1086,84.3,68,59.1,13,28.3,1,7,0,0,22,53,25,8,13,0,0.63,4,3.63,4,4.26
