current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Betis,Midfielder,Isco,isco,103417,15/16,7.02,42,2537,3,10,42,3,59,20,5,42,10,71,14,78,1503,89.6,54,83.1,28,28.9,6,3,1,0,37,38,31,19,10,3,,10,,13,
Betis,Midfielder,Isco,isco,103417,16/17,7.14,41,2324,11,10,41,11,47,21,2,41,10,51,6,82,1508,89.8,66,76.7,13,25.0,2,5,0,1,38,58,24,13,6,11,,10,,21,
Betis,Midfielder,Isco,isco,103417,17/18,7.15,46,2724,9,9,46,9,82,32,10,46,9,68,14,85,2128,89.7,96,68.1,32,24.8,2,2,0,0,48,37,20,25,9,9,,9,,18,
Betis,Midfielder,Isco,isco,103417,18/19,6.95,36,1717,6,2,36,6,43,16,8,36,2,43,6,46,1228,88.5,57,69.5,11,17.2,2,4,0,0,24,39,10,13,8,6,,2,,8,
Betis,Midfielder,Isco,isco,103417,19/20,6.99,30,1628,3,2,30,3,36,19,3,30,2,27,4,47,1038,88.9,37,60.7,7,15.6,0,2,0,0,15,22,10,8,9,3,,2,,5,
Betis,Midfielder,Isco,isco,103417,20/21,6.77,29,1092,0,2,29,0,23,3,2,29,2,23,2,45,758,88.2,38,71.7,9,24.3,1,1,0,0,16,15,6,10,8,0,,2,,2,
Betis,Midfielder,Isco,isco,103417,21/22,6.91,17,415,2,0,17,2,10,4,0,17,0,11,3,24,301,91.2,15,75.0,2,20.0,0,1,0,0,9,11,2,4,4,2,,0,,2,
Betis,Midfielder,Isco,isco,103417,22/23,6.83,19,1264,1,3,19,1,19,9,3,19,3,22,2,19,557,87.3,31,64.6,4,18.2,1,5,0,0,14,21,15,6,10,1,1.11,3,1.56,4,2.67
Betis,Midfielder,Isco,isco,103417,23/24,7.45,36,2790,9,7,36,9,74,28,12,36,7,91,14,87,1414,85.7,79,66.9,48,27.0,4,11,0,0,27,46,12,22,18,9,8.89,7,6.72,16,15.61
Betis,Midfielder,Isco,isco,103417,24/25,7.58,29,2056,11,9,29,11,51,15,4,29,9,82,10,40,1225,87.6,96,79.3,31,25.4,2,7,0,0,26,30,12,24,17,11,9.60,9,4.80,20,14.40
