current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Celta,Defender,Javier Manquillo,javier-manquillo,210082,15/16,7.04,36,3056,0,2,36,0,8,3,0,36,2,19,5,30,1264,81.7,46,31.3,8,14.0,7,2,0,0,15,84,102,1,56,0,,2,,2,
Celta,Defender,Javier Manquillo,javier-manquillo,210082,16/17,6.59,20,1428,1,0,20,1,3,1,0,20,0,4,0,15,329,77.8,9,29.0,5,14.7,2,2,0,0,6,31,24,1,17,1,,0,,1,
Celta,Defender,Javier Manquillo,javier-manquillo,210082,17/18,6.58,23,1926,0,1,23,0,2,0,0,23,1,12,3,13,480,76.6,25,33.8,6,17.1,4,2,0,0,15,40,21,0,25,0,,1,,1,
Celta,Defender,Javier Manquillo,javier-manquillo,210082,18/19,6.73,21,1405,0,3,21,0,3,2,1,21,3,10,1,7,342,71.7,20,32.8,5,13.9,3,2,0,0,8,35,19,0,22,0,,3,,3,
Celta,Defender,Javier Manquillo,javier-manquillo,210082,19/20,6.64,24,1819,0,1,24,0,1,0,0,24,1,7,0,13,410,75.6,19,27.5,5,10.6,6,5,0,0,19,41,20,1,18,0,,1,,1,
Celta,Defender,Javier Manquillo,javier-manquillo,210082,20/21,6.61,15,1016,0,0,15,0,1,0,0,15,0,6,0,2,276,76.7,12,34.3,8,24.2,4,1,0,0,8,30,11,1,19,0,,0,,0,
Celta,Defender,Javier Manquillo,javier-manquillo,210082,21/22,6.67,21,1362,1,2,21,1,5,3,0,21,2,7,1,10,260,74.3,10,25.0,2,18.2,1,5,0,0,16,40,10,1,17,1,,2,,3,
Celta,Defender,Javier Manquillo,javier-manquillo,210082,22/23,6.82,6,195,0,0,6,0,,,0,6,0,3,1,2,124,86.7,5,62.5,3,60.0,0,0,0,0,0,7,3,,1,0,0.00,0,0.01,0,0.01
Celta,Defender,Javier Manquillo,javier-manquillo,210082,23/24,6.64,12,746,0,1,12,0,1,0,0,12,1,1,1,4,305,84.5,12,37.5,0,,1,3,0,0,7,15,3,0,13,0,0.11,1,0.45,1,0.55
Celta,Defender,Javier Manquillo,javier-manquillo,210082,24/25,6.46,11,542,0,0,11,0,,,0,11,0,0,0,0,343,90.5,2,15.4,1,33.3,0,1,0,0,8,8,7,,5,0,,0,0.09,0,0.09
