current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,15/16,6.78,29,2198,0,2,29,0,5,1,0,29,2,20,2,12,777,81.7,43,39.1,18,18.2,4,7,1,0,14,87,34,2,13,0,,2,,2,
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,16/17,6.84,30,2216,1,2,30,1,15,7,0,30,2,25,5,27,624,77.5,33,32.4,20,17.7,4,4,0,0,22,77,42,2,13,1,,2,,3,
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,17/18,7.06,38,3307,0,3,38,0,17,4,1,38,3,40,5,42,1223,81.7,60,36.1,27,25.0,9,11,0,0,28,85,59,3,28,0,,3,,3,
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,18/19,6.82,49,4398,1,3,49,1,23,4,2,49,3,37,2,47,1641,81.2,97,41.8,29,22.0,14,16,0,1,51,105,59,5,46,1,,3,,4,
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,19/20,6.87,32,2671,0,1,32,0,16,4,1,32,1,22,6,34,843,78.9,54,38.3,20,19.4,7,5,0,0,20,65,24,2,29,0,,1,,1,
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,20/21,6.80,34,2861,1,7,34,1,24,5,2,34,7,36,6,33,968,82.1,72,48.0,18,13.8,5,6,0,1,36,59,39,4,28,1,,7,,8,
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,21/22,6.80,31,2434,2,4,31,2,24,12,0,31,4,31,6,19,569,73.2,64,35.8,29,23.2,5,8,2,0,25,54,22,2,8,2,,4,,6,
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,22/23,7.15,34,3014,1,3,34,1,23,9,1,34,3,62,10,26,1139,81.8,73,39.7,50,21.6,4,4,0,0,32,89,29,4,29,1,1.87,3,5.62,4,7.49
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,23/24,6.96,27,1915,2,3,27,2,11,2,0,27,3,28,4,9,687,79.3,45,39.5,18,20.5,6,2,0,0,26,78,13,3,13,2,0.49,3,2.46,5,2.94
ValenciaCF,Defender,Jose Gaya,jose-luis-gaya,227922,24/25,7.01,21,1638,0,1,21,0,12,4,2,21,1,23,8,7,551,81.8,37,45.1,26,32.5,4,6,0,0,17,55,21,2,10,0,1.02,1,3.14,1,4.16
