current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,15/16,7.15,35,3091,1,1,35,1,19,6,0,35,1,8,3,11,849,74.5,127,42.1,1,50.0,20,9,0,1,23,75,96,2,77,1,,1,,2,
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,16/17,7.20,29,1995,1,1,29,1,19,8,0,29,1,8,1,16,658,73.9,85,41.9,1,12.5,10,7,0,1,25,66,57,2,85,1,,1,,2,
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,17/18,7.14,38,2920,2,2,38,2,21,5,0,38,2,9,2,9,1115,81.9,142,51.1,2,40.0,16,7,0,1,23,62,61,3,99,2,,2,,4,
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,18/19,7.09,29,2323,2,0,29,2,19,5,1,29,0,3,1,8,784,81.8,100,47.8,,,12,8,0,1,15,34,57,2,77,2,,0,,2,
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,19/20,6.99,27,2151,0,1,27,0,20,3,1,27,1,2,1,3,985,86.4,94,55.6,,,11,3,0,0,7,24,25,4,76,0,,1,,1,
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,20/21,6.99,26,2115,1,0,26,1,19,6,1,26,0,4,0,2,1166,87.9,102,56.0,0,,9,7,0,0,7,25,27,2,57,1,,0,,1,
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,21/22,6.97,33,2766,1,1,33,1,26,7,3,33,1,5,1,10,1058,87.6,99,57.9,0,,11,9,1,0,10,23,34,3,60,1,,1,,2,
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,22/23,7.11,36,3048,2,1,36,2,26,9,4,36,1,8,2,7,1542,88.5,155,63.0,1,100.0,12,13,0,0,15,54,32,3,59,2,2.53,1,0.29,3,2.82
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,23/24,6.92,33,2225,0,1,33,0,14,2,1,33,1,4,2,2,986,88.1,108,63.2,0,,6,8,0,0,18,23,20,3,54,0,0.55,1,0.63,1,1.18
Atletico Madrid,Defender,Jose Maria Gimenez,jose-maria-gimenez,325355,24/25,7.01,37,2924,1,1,37,1,12,3,0,37,1,3,1,2,1714,91.0,124,61.1,,,12,9,0,1,21,46,38,0,57,1,0.84,1,0.35,2,1.20
