current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Atletico Madrid,Midfielder,Koke,koke,84539,15/16,7.33,46,4010,5,15,46,5,58,17,3,46,15,110,16,20,2277,82.0,85,45.0,68,25.6,22,6,0,0,59,125,61,16,32,5,,15,,20,
Atletico Madrid,Midfielder,Koke,koke,84539,16/17,7.15,54,4693,5,10,54,5,49,15,1,54,10,106,8,28,3222,84.3,232,61.4,58,23.3,27,10,1,0,111,127,72,12,16,5,,10,,15,
Atletico Madrid,Midfielder,Koke,koke,84539,17/18,7.08,51,4091,6,7,51,6,48,23,3,51,7,82,15,26,2601,85.0,176,59.1,45,23.2,19,4,0,0,111,107,40,13,21,6,,7,,13,
Atletico Madrid,Midfielder,Koke,koke,84539,18/19,7.16,41,3510,6,5,41,6,28,9,2,41,5,78,8,17,2362,86.4,144,59.3,40,27.4,14,10,1,0,73,103,43,9,18,6,,5,,11,
Atletico Madrid,Midfielder,Koke,koke,84539,19/20,7.05,42,3525,5,6,42,5,25,11,0,42,6,73,11,22,1856,85.7,54,45.0,26,25.0,14,6,0,0,80,86,36,7,34,5,,6,,11,
Atletico Madrid,Midfielder,Koke,koke,84539,20/21,6.96,45,3689,1,2,45,1,26,8,2,45,2,40,4,35,2592,89.1,152,70.0,17,27.0,14,11,0,0,90,80,47,9,28,1,,2,,3,
Atletico Madrid,Midfielder,Koke,koke,84539,21/22,6.79,43,3358,1,3,43,1,16,6,1,43,3,32,4,18,1868,85.9,99,54.4,5,12.5,8,7,0,0,60,76,29,4,18,1,,3,,4,
Atletico Madrid,Midfielder,Koke,koke,84539,22/23,6.87,42,3203,0,3,42,0,22,3,1,42,3,35,2,13,2239,89.4,119,64.7,4,13.3,4,6,0,0,52,66,24,11,16,0,0.90,3,1.82,3,2.71
Atletico Madrid,Midfielder,Koke,koke,84539,23/24,7.08,50,3787,0,6,50,0,13,2,1,50,6,43,9,9,3105,90.7,178,63.6,3,15.0,9,9,0,1,58,95,24,4,19,0,0.48,6,4.09,6,4.57
Atletico Madrid,Midfielder,Koke,koke,84539,24/25,6.89,41,2432,1,2,41,1,11,4,1,41,2,24,3,10,1825,89.0,88,54.3,6,33.3,7,5,0,1,32,61,24,3,12,1,1.08,2,2.06,3,3.14
