current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,15/16,7.10,32,1560,4,8,32,4,28,13,5,32,8,39,10,40,657,85.1,17,53.1,16,22.2,5,6,0,0,24,62,26,9,6,4,,8,,12,
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,16/17,6.93,49,2090,4,11,49,4,50,18,7,49,11,64,12,45,800,83.7,34,65.4,37,29.4,3,5,0,1,22,60,18,10,4,4,,11,,15,
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,17/18,7.11,49,2679,8,10,49,8,51,26,9,49,10,79,15,62,1299,87.1,48,69.6,34,25.8,7,4,0,0,47,75,19,11,7,8,,10,,18,
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,18/19,6.95,45,2503,5,4,45,5,40,19,7,45,4,53,12,51,1186,85.0,49,54.4,23,22.3,6,8,1,0,37,77,15,8,11,5,,4,,9,
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,19/20,6.84,23,1048,3,1,23,3,15,4,2,23,1,20,5,20,506,84.3,17,56.7,15,25.4,3,1,0,0,19,26,11,5,3,3,,1,,4,
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,20/21,7.23,34,2780,2,7,34,2,35,11,4,34,7,72,11,46,1718,87.9,100,66.7,43,29.9,9,5,0,2,45,83,28,10,16,2,,7,,9,
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,21/22,7.00,41,2523,3,0,41,3,19,5,1,41,0,49,4,26,1611,89.0,68,56.7,20,20.4,5,4,0,0,24,62,22,6,4,3,,0,,3,
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,22/23,6.96,30,1519,4,2,30,4,14,7,1,30,2,28,3,16,898,89.2,22,47.8,15,28.3,3,3,0,0,12,43,11,2,1,4,1.89,2,4.03,6,5.92
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,23/24,7.17,38,1828,3,7,38,3,15,8,2,38,7,40,12,26,1060,88.8,17,33.3,13,19.4,7,2,0,0,12,42,13,2,4,3,1.30,7,5.03,10,6.33
Real Madrid,Defender,Lucas Vazquez,lucas-vazquez,255239,24/25,7.03,48,3173,2,7,48,2,25,8,1,48,7,51,12,25,1773,89.5,44,50.0,18,18.6,6,9,1,2,33,82,31,10,11,2,1.90,7,5.03,9,6.93
