current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Celta,Defender,Marcos Alonso,marcos-alonso,69408,15/16,6.99,38,2904,3,4,38,3,63,12,2,38,4,48,5,27,1469,83.7,84,49.4,26,19.3,10,9,0,1,21,58,71,15,73,3,,4,,7,
Celta,Defender,Marcos Alonso,marcos-alonso,69408,16/17,7.06,36,3144,6,3,36,6,49,16,2,36,3,24,4,27,1130,77.4,64,39.3,20,17.7,17,3,0,0,27,69,52,12,84,6,,3,,9,
Celta,Defender,Marcos Alonso,marcos-alonso,69408,17/18,7.08,46,4017,8,4,46,8,89,32,2,46,4,44,7,26,1461,79.3,51,34.0,19,15.0,16,9,0,1,33,86,67,28,87,8,,4,,12,
Celta,Defender,Marcos Alonso,marcos-alonso,69408,18/19,7.10,39,3457,4,5,39,4,54,10,4,39,5,39,6,24,2033,85.5,59,43.1,14,11.7,17,6,0,0,34,90,47,18,76,4,,5,,9,
Celta,Defender,Marcos Alonso,marcos-alonso,69408,19/20,7.09,29,2346,4,2,29,4,50,15,2,29,2,35,5,19,1229,81.8,53,44.5,26,28.9,7,4,1,0,27,39,35,15,76,4,,2,,6,
Celta,Defender,Marcos Alonso,marcos-alonso,69408,20/21,6.93,17,1251,2,0,17,2,25,12,2,17,0,17,3,12,535,83.1,26,44.8,6,19.4,5,2,0,0,9,21,14,8,26,2,,0,,2,
Celta,Defender,Marcos Alonso,marcos-alonso,69408,21/22,7.14,46,3630,5,5,46,5,75,22,4,46,5,69,9,28,1602,82.7,75,41.2,53,23.6,13,9,0,0,34,63,63,27,73,5,,5,,10,
Celta,Defender,Marcos Alonso,marcos-alonso,69408,22/23,6.90,37,1959,3,0,37,3,11,4,1,37,0,15,1,5,1534,90.9,84,60.9,14,34.1,5,3,0,1,7,24,21,1,41,3,2.14,0,1.94,3,4.08
Celta,Defender,Marcos Alonso,marcos-alonso,69408,23/24,6.84,8,391,0,0,8,0,4,3,0,8,0,6,1,3,222,88.8,8,44.4,5,22.7,1,0,0,0,1,6,6,0,3,0,0.13,0,0.41,0,0.54
Celta,Defender,Marcos Alonso,marcos-alonso,69408,24/25,7.09,31,2691,3,0,31,3,30,12,1,31,0,20,2,15,2099,90.4,115,55.3,9,21.4,7,10,2,2,19,36,34,8,64,3,2.86,0,1.86,3,4.72
