current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,15/16,6.91,41,3590,1,1,41,1,40,7,2,41,1,32,5,22,1420,77.0,147,59.5,4,16.0,8,7,0,0,54,86,114,17,101,1,,1,,2,
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,16/17,6.92,25,1874,1,1,25,1,15,2,0,25,1,5,1,17,826,77.6,83,58.5,2,13.3,5,7,0,0,30,59,60,7,46,1,,1,,2,
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,17/18,6.69,18,1161,1,1,18,1,11,4,3,18,1,10,1,7,533,82.5,43,65.2,6,35.3,3,7,0,0,27,24,12,4,29,1,,1,,2,
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,18/19,6.70,28,2180,1,2,28,1,15,4,1,28,2,18,2,19,693,80.6,49,61.3,6,18.2,6,3,0,0,65,59,42,2,54,1,,2,,3,
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,19/20,6.66,27,1777,0,2,27,0,19,5,2,27,2,8,1,9,697,82.1,43,52.4,2,12.5,4,5,0,1,48,34,40,4,51,0,,2,,2,
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,20/21,6.71,38,2234,0,1,38,0,30,6,2,38,1,19,3,12,893,77.7,72,54.1,0,,6,8,0,0,48,40,37,9,67,0,,1,,1,
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,21/22,6.69,39,1894,2,2,39,2,18,4,1,39,2,18,2,12,753,77.6,66,52.0,3,25.0,3,6,1,1,29,39,37,4,52,2,,2,,4,
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,22/23,6.87,43,3228,4,5,43,4,33,8,3,43,5,22,3,11,1549,83.9,119,72.6,4,26.7,11,7,0,1,52,67,48,9,80,4,3.91,5,1.79,9,5.70
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,23/24,6.87,32,1836,3,1,32,3,24,8,0,32,1,10,3,2,826,79.6,57,58.2,4,28.6,4,2,0,0,34,50,34,6,35,3,2.71,1,1.25,4,3.96
Athletic club,Midfielder,Mikel Vesga,mikel-vesga,359742,24/25,6.67,32,1119,0,0,32,0,8,4,2,32,0,13,1,5,489,81.1,33,55.0,0,,0,2,0,0,23,26,19,1,26,0,1.32,0,0.58,0,1.90
