current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,15/16,6.69,27,1286,1,0,27,1,22,5,1,27,0,13,0,12,549,78.3,27,38.0,0,,1,1,0,0,19,35,31,7,13,1,,0,,1,
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,16/17,6.84,34,2852,6,2,34,6,43,11,1,34,2,39,2,22,1168,78.3,83,56.8,5,29.4,6,6,0,0,47,66,50,12,34,6,,2,,8,
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,17/18,6.98,46,3335,4,13,46,4,82,23,5,46,13,68,19,29,1402,78.9,110,65.1,9,22.0,9,5,0,0,49,67,25,25,33,4,,13,,17,
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,18/19,6.91,50,3448,5,6,50,5,82,28,3,50,6,73,14,53,1361,79.5,78,58.2,13,22.4,6,5,0,0,52,67,36,22,23,5,,6,,11,
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,19/20,6.73,40,2435,4,6,40,4,44,15,3,40,6,24,4,15,780,78.9,47,58.8,10,15.2,4,3,0,0,47,51,27,10,10,4,,6,,10,
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,20/21,6.86,36,2765,6,4,36,6,53,18,7,36,4,35,5,31,923,79.8,29,49.2,6,12.5,7,3,0,0,65,45,38,18,26,6,,4,,10,
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,21/22,6.94,54,3764,6,6,54,6,61,16,3,54,6,65,13,33,1403,77.9,93,54.4,29,22.0,7,5,0,0,77,76,42,24,28,6,,6,,12,
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,22/23,6.92,50,2337,7,2,50,7,47,17,1,50,2,39,5,21,966,80.1,77,60.2,13,13.5,3,0,0,0,25,42,25,7,17,7,3.61,2,3.32,9,6.93
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,23/24,6.91,38,2151,3,2,38,3,31,12,3,38,2,31,6,21,844,78.7,47,54.7,18,25.0,3,3,0,0,23,36,38,11,18,3,2.24,2,2.94,5,5.18
Betis,Midfielder,Pablo Fornals,pablo-fornals,816763,24/25,7.03,34,2331,1,1,34,1,33,8,2,34,1,53,5,12,1229,85.4,64,70.3,21,28.4,2,4,0,0,28,31,29,10,22,1,2.71,1,4.39,2,7.09
