current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Barcelona,Midfielder,Raphinha,raphinha,831005,15/16,6.90,1,17,0,0,1,0,2,1,0,1,0,1,0,0,5,83.3,,,1,100.0,0,0,0,0,2,2,0,1,,0,,0,,0,
Barcelona,Midfielder,Raphinha,raphinha,831005,16/17,6.77,32,1706,4,6,32,4,42,14,2,32,6,24,5,27,281,63.9,26,44.8,17,16.3,1,6,0,0,22,43,31,8,6,4,,6,,10,
Barcelona,Midfielder,Raphinha,raphinha,831005,17/18,7.13,38,3294,15,4,38,15,83,30,8,38,4,64,11,40,552,64.6,42,37.5,58,24.9,7,5,0,0,56,69,55,19,14,15,,4,,19,
Barcelona,Midfielder,Raphinha,raphinha,831005,18/19,7.18,30,1916,5,2,30,5,60,24,5,30,2,38,9,32,418,70.3,39,57.4,12,20.0,4,7,0,0,24,44,30,13,26,5,,2,,7,
Barcelona,Midfielder,Raphinha,raphinha,831005,19/20,6.97,34,2620,8,4,34,8,62,21,3,34,4,68,12,67,654,73.8,35,50.7,38,29.9,4,9,0,1,44,40,27,13,20,8,,4,,12,
Barcelona,Midfielder,Raphinha,raphinha,831005,20/21,7.13,37,2808,7,11,37,7,80,27,4,37,11,73,15,66,721,71.9,49,53.8,43,23.6,5,3,0,0,49,39,33,22,15,7,,11,,18,
Barcelona,Midfielder,Raphinha,raphinha,831005,21/22,6.95,36,2967,11,3,36,11,88,25,6,36,3,67,10,62,758,69.4,56,41.2,33,20.2,4,7,0,0,50,51,29,26,23,11,,3,,14,
Barcelona,Midfielder,Raphinha,raphinha,831005,22/23,7.24,50,2923,10,12,50,10,107,33,11,50,12,80,21,56,1139,79.5,91,65.5,55,23.2,1,10,0,0,31,50,26,28,16,10,10.06,12,10.60,22,20.65
Barcelona,Midfielder,Raphinha,raphinha,831005,23/24,7.39,37,1958,10,11,37,10,88,37,10,37,11,53,15,33,652,81.0,40,60.6,33,30.8,2,5,1,0,18,28,15,20,10,10,9.91,11,6.42,21,16.33
Barcelona,Midfielder,Raphinha,raphinha,831005,24/25,7.95,54,4417,34,22,54,34,187,77,29,54,22,150,45,70,1475,79.0,76,64.4,78,25.6,12,7,0,0,29,56,19,47,11,34,24.99,22,14.33,56,39.33
