current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Villarreal,Defender,Raul Albiol,raul-albiol,3041,15/16,7.10,39,3442,1,1,39,1,10,4,1,39,1,6,0,6,2423,88.2,222,64.2,0,,15,10,0,0,23,57,54,1,120,1,,1,,2,
Villarreal,Defender,Raul Albiol,raul-albiol,3041,16/17,6.96,35,3028,0,1,35,0,11,1,0,35,1,8,1,4,2070,86.9,200,61.9,1,20.0,11,8,0,2,19,42,31,1,100,0,,1,,1,
Villarreal,Defender,Raul Albiol,raul-albiol,3041,17/18,7.32,39,3462,3,1,39,3,20,8,2,39,1,7,1,2,2794,89.2,373,73.6,0,,20,8,0,1,8,41,42,4,116,3,,1,,4,
Villarreal,Defender,Raul Albiol,raul-albiol,3041,18/19,7.08,26,2207,1,0,26,1,5,2,0,26,0,5,2,2,1380,89.6,180,65.7,2,66.7,7,5,0,0,7,18,28,2,60,1,,0,,1,
Villarreal,Defender,Raul Albiol,raul-albiol,3041,19/20,6.93,38,3448,1,0,38,1,15,5,3,38,0,4,1,3,1729,84.0,212,54.5,1,25.0,13,9,0,0,11,45,44,6,84,1,,0,,1,
Villarreal,Defender,Raul Albiol,raul-albiol,3041,20/21,6.94,47,4259,2,0,47,2,12,3,2,47,0,6,1,4,2529,89.4,195,60.7,2,28.6,15,9,0,1,8,37,26,1,85,2,,0,,2,
Villarreal,Defender,Raul Albiol,raul-albiol,3041,21/22,6.93,43,3730,1,0,43,1,8,2,0,43,0,4,0,4,1866,86.0,181,52.9,0,,14,9,0,1,9,40,29,1,63,1,,0,,1,
Villarreal,Defender,Raul Albiol,raul-albiol,3041,22/23,6.94,27,2209,0,0,27,0,2,1,0,27,0,2,0,4,1378,88.9,127,61.1,0,,8,6,0,0,4,26,15,0,40,0,0.09,0,0.46,0,0.55
Villarreal,Defender,Raul Albiol,raul-albiol,3041,23/24,6.80,30,2229,0,1,30,0,7,1,0,30,1,4,3,0,1219,86.7,92,48.7,,,3,7,0,0,9,26,18,2,50,0,0.47,1,0.62,1,1.10
Villarreal,Defender,Raul Albiol,raul-albiol,3041,24/25,6.68,16,1212,0,0,16,0,2,0,0,16,0,0,0,0,734,89.3,44,45.4,,,1,4,0,0,4,10,6,2,31,0,0.10,0,0.13,0,0.23
