current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,15/16,7.13,34,2893,3,4,34,3,31,11,0,34,4,46,5,24,1451,83.6,144,53.9,44,37.9,8,3,0,1,19,57,63,8,55,3,,4,,7,
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,16/17,7.00,25,2109,2,3,25,2,22,7,0,25,3,28,3,1,1039,82.1,135,51.5,27,28.1,7,2,0,1,5,28,37,5,35,2,,3,,5,
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,17/18,7.02,45,3969,3,2,45,3,38,11,1,45,2,32,3,30,2026,88.1,143,59.3,27,18.0,17,4,1,0,15,72,42,13,50,3,,2,,5,
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,18/19,6.97,41,3536,0,4,41,0,28,6,0,41,4,25,2,14,1802,87.0,140,52.6,26,28.0,13,8,0,0,14,66,45,7,44,0,,4,,4,
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,19/20,6.87,11,835,0,0,11,0,8,2,0,11,0,6,1,3,377,83.2,30,49.2,4,16.7,4,0,0,0,11,17,12,2,14,0,,0,,0,
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,20/21,6.69,16,1245,0,0,16,0,13,2,0,16,0,6,0,4,549,86.3,42,53.8,2,10.0,1,1,0,0,9,21,20,3,16,0,,0,,0,
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,21/22,6.87,36,2603,0,1,36,0,11,0,0,36,1,23,3,5,1305,87.8,87,51.5,28,40.6,5,4,0,1,15,38,41,7,54,0,,1,,1,
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,22/23,6.99,38,2931,0,0,38,0,11,4,0,38,0,34,1,8,1467,84.1,89,46.6,32,37.2,9,3,0,0,14,66,41,4,35,0,0.42,0,2.23,0,2.65
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,23/24,6.94,37,2992,1,2,37,1,12,3,0,37,2,22,2,8,1480,85.7,88,47.6,26,39.4,13,4,0,1,19,53,28,3,45,1,0.30,2,1.76,3,2.06
Betis,Defender,Ricardo Rodriguez,ricardo-rodriguez,67769,24/25,7.00,30,2218,0,1,30,0,8,3,0,30,1,25,2,6,963,87.1,43,47.8,25,38.5,9,1,0,0,13,38,22,3,37,0,0.30,1,1.24,1,1.54
