current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,15/16,6.87,11,607,0,0,11,0,11,3,1,11,0,18,2,14,207,75.8,26,57.8,14,29.8,0,3,0,0,4,12,5,6,1,0,,0,,0,
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,16/17,6.90,34,2357,4,1,34,4,44,14,4,34,1,46,6,56,638,78.8,56,62.9,37,21.5,2,7,1,0,36,51,18,13,2,4,,1,,5,
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,17/18,7.03,38,2367,4,7,38,4,54,16,4,38,7,68,13,73,737,76.7,68,64.2,46,27.4,3,4,0,0,29,32,16,17,4,4,,7,,11,
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,18/19,7.57,36,3193,9,8,36,9,88,33,6,36,8,100,15,81,1211,76.4,178,65.9,58,28.2,7,7,0,0,29,53,32,15,3,9,,8,,17,
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,19/20,7.44,34,2827,7,6,34,7,85,30,4,34,6,77,17,62,1282,82.0,124,63.9,54,22.5,10,5,1,0,38,61,29,16,1,7,,6,,13,
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,20/21,7.53,36,3204,9,9,36,9,82,22,1,36,9,82,20,122,1466,79.8,162,61.4,72,27.5,6,4,2,0,45,41,17,23,6,9,,9,,18,
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,21/22,7.08,48,2938,4,1,48,4,41,13,0,48,1,63,11,30,1388,81.5,134,58.8,39,34.5,6,9,0,0,46,79,29,11,21,4,,1,,5,
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,22/23,7.18,38,2402,3,8,38,3,27,9,0,38,8,57,14,20,1494,84.6,126,66.7,15,21.4,1,7,0,0,19,41,13,5,9,3,1.79,8,4.31,11,6.10
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,23/24,7.24,48,3210,4,6,48,4,43,15,2,48,6,62,13,44,1949,85.0,140,67.0,21,27.6,4,10,1,1,32,51,17,11,6,4,2.52,6,6.84,10,9.36
Atletico Madrid,Midfielder,Rodrigo De Paul,rodrigo-de-paul,249399,24/25,7.14,47,3056,3,8,47,3,30,9,0,47,8,68,15,19,2016,83.8,136,56.9,26,27.7,4,8,0,1,34,53,14,10,7,3,1.46,8,7.25,11,8.71
