current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,15/16,6.77,39,1681,7,4,39,7,41,14,3,39,4,29,4,30,313,68.9,7,26.9,7,17.1,1,5,0,0,20,50,29,16,7,7,,4,,11,
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,16/17,6.74,21,1201,4,1,21,4,52,16,4,21,1,19,2,41,224,68.1,7,25.0,3,12.0,0,2,0,0,21,30,17,16,13,4,,1,,5,
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,17/18,6.79,30,1398,3,2,30,3,74,21,3,30,2,24,3,46,258,67.0,7,29.2,13,18.6,0,4,1,0,21,28,16,31,15,3,,2,,5,
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,18/19,6.90,46,2354,8,7,46,8,94,35,2,46,7,39,7,54,490,68.2,19,45.2,10,14.1,0,3,0,0,32,44,13,34,26,8,,7,,15,
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,19/20,6.84,15,1042,0,3,15,0,32,7,4,15,3,22,3,25,246,69.9,9,29.0,7,18.4,1,3,0,0,17,31,3,7,2,0,,3,,3,
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,20/21,7.06,55,3509,9,9,55,9,114,33,5,55,9,63,9,69,704,69.2,50,43.9,33,25.2,3,6,0,0,48,73,37,42,19,9,,9,,18,
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,21/22,6.73,35,2379,4,2,35,4,39,17,2,35,2,19,4,26,469,63.6,30,24.8,14,14.9,2,8,1,0,35,59,26,11,10,4,,2,,6,
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,22/23,6.84,14,546,4,2,14,4,17,7,2,14,2,6,0,8,121,72.0,6,46.2,0,,0,1,0,0,8,8,2,4,1,4,0.07,2,0.03,6,0.11
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,23/24,6.86,31,1498,2,2,31,2,51,19,3,31,2,15,6,22,318,70.0,15,36.6,7,17.9,1,2,0,0,16,27,11,11,14,2,2.83,2,2.07,4,4.90
ValenciaCF,Midfielder,Sergi Canos,sergi-canos,790833,24/25,6.69,21,719,1,5,21,1,20,4,0,21,5,10,2,6,187,67.8,7,25.9,4,18.2,1,3,0,0,11,15,5,6,4,1,0.50,5,0.19,6,0.69
