current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Betis,Midfielder,William Carvalho,william-carvalho,137978,15/16,7.11,32,2514,2,2,32,2,18,4,2,32,2,16,5,21,1709,84.4,117,61.9,2,50.0,13,9,0,0,21,68,63,1,61,2,,2,,4,
Betis,Midfielder,William Carvalho,william-carvalho,137978,16/17,7.14,38,3345,2,4,38,2,24,8,1,38,4,22,4,47,2412,88.1,193,68.0,0,,13,11,1,0,28,67,54,5,44,2,,4,,6,
Betis,Midfielder,William Carvalho,william-carvalho,137978,17/18,7.13,33,2837,1,1,33,1,24,4,0,33,1,20,5,62,1827,88.5,136,73.1,1,12.5,11,6,0,0,19,60,37,3,49,1,,1,,2,
Betis,Midfielder,William Carvalho,william-carvalho,137978,18/19,6.91,43,3505,0,5,43,0,15,3,1,43,5,26,3,58,2562,90.3,150,75.4,0,,6,8,0,0,20,64,22,4,52,0,,5,,5,
Betis,Midfielder,William Carvalho,william-carvalho,137978,19/20,6.52,13,894,0,0,13,0,6,2,0,13,0,9,1,20,553,88.1,36,67.9,0,,1,6,1,0,10,7,4,0,19,0,,0,,0,
Betis,Midfielder,William Carvalho,william-carvalho,137978,20/21,6.73,30,1411,2,0,30,2,21,10,3,30,0,10,1,21,946,84.8,70,57.4,0,,1,6,1,1,17,20,12,3,37,2,,0,,2,
Betis,Midfielder,William Carvalho,william-carvalho,137978,21/22,6.98,49,2942,4,5,49,4,47,14,0,49,5,33,7,66,1805,87.4,102,71.8,1,25.0,5,8,0,0,40,68,30,13,50,4,,5,,9,
Betis,Midfielder,William Carvalho,william-carvalho,137978,22/23,6.93,43,3020,4,0,43,4,34,11,2,43,0,34,3,35,1895,86.8,113,72.0,2,33.3,6,6,1,0,31,52,20,6,38,4,3.41,0,2.30,4,5.70
Betis,Midfielder,William Carvalho,william-carvalho,137978,23/24,6.96,30,1278,1,5,30,1,13,5,1,30,5,21,3,9,1076,90.2,62,72.1,2,25.0,0,3,0,0,12,35,16,3,11,1,0.63,5,1.18,6,1.81
Betis,Midfielder,William Carvalho,william-carvalho,137978,24/25,6.79,12,453,0,0,12,0,4,1,0,12,0,5,0,3,298,87.9,12,50.0,0,,1,0,0,0,2,9,3,1,6,0,0.19,0,0.30,0,0.50
