current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,15/16,7.00,32,2578,0,0,32,0,10,2,2,32,0,7,0,7,1027,72.9,176,41.5,2,25.0,5,11,0,1,17,50,127,1,69,0,,0,,0,
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,16/17,7.15,35,3006,0,2,35,0,19,2,2,35,2,14,2,20,1463,79.6,178,46.1,6,50.0,8,4,0,0,18,80,133,3,76,0,,2,,2,
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,17/18,6.87,12,989,0,0,12,0,1,0,0,12,0,2,0,6,462,78.2,64,47.8,0,,2,2,0,0,5,23,18,0,17,0,,0,,0,
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,18/19,6.85,32,2794,0,0,32,0,13,3,3,32,0,2,0,5,1105,80.0,98,39.2,1,25.0,10,10,0,0,14,55,67,4,107,0,,0,,0,
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,19/20,6.99,38,3381,0,0,38,0,13,2,1,38,0,7,1,17,1430,78.8,146,42.0,4,25.0,14,4,0,0,20,40,73,3,134,0,,0,,0,
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,20/21,6.89,30,2646,1,0,30,1,12,3,0,30,0,7,1,12,1194,82.1,129,50.8,2,40.0,5,7,0,0,14,26,67,5,80,1,,0,,1,
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,21/22,6.98,27,2264,1,0,27,1,9,1,0,27,0,4,0,3,1024,82.5,87,43.7,0,,7,7,0,0,9,33,49,3,67,1,,0,,1,
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,22/23,6.94,33,2766,1,1,33,1,11,1,1,33,1,16,3,7,1351,80.9,140,46.2,4,40.0,11,8,1,0,9,42,59,3,63,1,0.79,1,0.81,2,1.59
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,23/24,6.80,21,1169,0,0,21,0,7,2,0,21,0,3,0,2,571,81.0,49,40.5,0,,6,1,1,0,7,18,11,1,44,0,0.28,0,0.36,0,0.64
Athletic club,Defender,Yeray Alvarez,yeray-alvarez,807648,24/25,7.08,28,2323,2,0,28,2,16,3,0,28,0,5,1,7,1243,84.7,113,47.5,2,50.0,11,7,1,0,6,33,47,3,61,2,1.09,0,0.48,2,1.57
