current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,15/16,7.00,28,2502,2,1,28,2,13,4,0,28,1,26,2,48,1047,79.1,72,53.7,29,27.1,10,7,0,0,24,79,64,5,49,2,,1,,3,
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,16/17,6.83,33,2740,0,4,33,0,10,1,0,33,4,35,3,49,1064,82.6,37,41.1,22,22.7,8,3,0,0,34,79,74,3,41,0,,4,,4,
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,17/18,7.06,35,3094,0,5,35,0,10,2,1,35,5,36,7,51,1283,82.3,59,48.8,30,21.9,9,3,0,0,25,93,54,4,41,0,,5,,5,
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,18/19,6.72,27,2271,0,2,27,0,15,3,0,27,2,23,3,24,959,81.6,27,35.5,12,18.8,7,3,0,0,23,52,30,4,21,0,,2,,2,
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,19/20,6.72,14,1069,0,1,14,0,7,1,0,14,1,13,2,13,456,82.3,16,51.6,6,18.2,1,2,0,0,17,21,20,3,15,0,,1,,1,
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,20/21,6.77,33,2915,1,2,33,1,13,2,0,33,2,25,1,41,1323,84.4,37,46.8,9,18.0,11,4,0,0,18,47,49,3,26,1,,2,,3,
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,21/22,6.86,17,1410,0,1,17,0,9,1,0,17,1,14,0,12,599,83.8,24,46.2,5,18.5,5,1,0,0,8,26,23,3,10,0,,1,,1,
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,22/23,6.91,28,2067,2,2,28,2,15,4,0,28,2,15,1,29,765,82.3,16,32.7,2,7.7,7,2,0,1,11,58,27,4,6,2,0.66,2,0.99,4,1.65
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,23/24,6.73,12,1048,0,1,12,0,4,0,0,12,1,4,2,12,462,85.6,10,34.5,3,11.1,3,2,0,0,4,16,11,0,10,0,0.13,1,0.74,1,0.87
Betis,Defender,Youssouf Sabaly,youssouf-sabaly,111803,24/25,6.90,32,2353,0,3,32,0,7,0,1,32,3,25,1,19,1134,88.5,14,30.4,14,26.9,4,4,0,0,13,54,19,1,16,0,0.42,3,1.84,3,2.25
