current_team,position,name,sofascore_name,id,season,avg_rating,matches,minutes,goals,assists,total_shots,shots_on_target,big_chances_missed,key_passes,big_chances_created,dribbles,accurate_passes,passing_accuracy,accurate_long_balls,long_ball_accuracy,accurate_crosses,crossing_accuracy,clean_sheets,yellow_cards,red_cards,errors_leading_to_goal,dribbled_past,tackles,interceptions,blocked_shots,aerial_duels_won,xGoals,xAssists,goal_involvements,expected_goal_involvements,goals_conceded,saves,prct_saves,penalties_saved,prct_penalties_saved,xGoals_Conceded,goals_prevented,avg_total_rating,pct_shots_on_target,goals_per_90,assists_per_90,key_passes_per_90,accurate_passes_per_90,goal_involvements_per_90,big_chances_created_per_90,big_chance_conversion_rate,xG_diff,xA_diff,tackle_success_rate,defensive_actions_per_90,yellow_cards_per_90,red_cards_per_90,aerial_duel_win_rate,errors_leading_to_goal_per_90,interceptions_per_90,clean_sheets_per_90,blocked_shots_per_90,goals_prevented_per_90,xGoals_conceded_diff,availability_rate
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,16/17,6.63,5.0,100.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,13.0,68.4,0.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,33.15,0.75,0.0,0.0,0.9,11.7,0.0,0.0,0.0,,,0.0,0.9,0.0,0.0,47.368,0.0,0.0,0.0,0.9,,,0.222
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,17/18,6.63,4.0,106.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,1.0,15.0,65.2,0.0,,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,,,0.0,,,,,,,,,26.52,0.4,0.0,0.0,1.698,12.736,0.0,0.0,0.0,,,50.0,1.698,0.0,0.0,71.809,0.0,0.0,0.0,0.849,,,0.294
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,18/19,6.76,30.0,1654.0,7.0,1.0,63.0,28.0,5.0,11.0,1.0,7.0,246.0,63.9,13.0,48.1,3.0,18.8,3.0,5.0,0.0,0.0,22.0,25.0,7.0,8.0,62.0,,,8.0,,,,,,,,,202.8,0.444,0.381,0.054,0.599,13.386,0.435,0.054,21.212,,,53.191,2.177,0.272,0.0,77.136,0.0,0.381,0.163,0.435,,,0.613
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,19/20,6.86,31.0,1457.0,9.0,3.0,69.0,23.0,7.0,14.0,5.0,14.0,142.0,64.0,4.0,66.7,4.0,28.6,3.0,3.0,1.0,0.0,12.0,9.0,8.0,16.0,35.0,,,12.0,,,,,,,,,212.66,0.333,0.556,0.185,0.865,8.771,0.741,0.309,30.0,,,42.857,2.038,0.185,0.062,68.374,0.0,0.494,0.185,0.988,,,0.522
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,20/21,6.95,39.0,2997.0,16.0,1.0,128.0,50.0,16.0,9.0,1.0,16.0,252.0,57.3,9.0,36.0,3.0,14.3,6.0,2.0,0.0,0.0,15.0,15.0,15.0,18.0,107.0,,,17.0,,,,,,,,,271.05,0.391,0.48,0.03,0.27,7.568,0.511,0.03,24.242,,,50.0,1.441,0.06,0.0,76.265,0.0,0.45,0.18,0.541,,,0.854
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,21/22,6.77,47.0,2470.0,13.0,0.0,90.0,36.0,15.0,15.0,1.0,16.0,320.0,66.0,10.0,58.8,3.0,25.0,3.0,7.0,0.0,0.0,18.0,7.0,1.0,11.0,84.0,,,13.0,,,,,,,,,318.19,0.4,0.474,0.0,0.547,11.66,0.474,0.036,25.49,,,28.0,0.692,0.255,0.0,75.374,0.0,0.036,0.109,0.401,,,0.584
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,22/23,6.66,36.0,1764.0,8.0,1.0,70.0,25.0,12.0,11.0,2.0,0.0,247.0,70.6,4.0,44.4,2.0,14.3,2.0,3.0,0.0,0.0,3.0,10.0,6.0,10.0,46.0,7.86,0.92,9.0,8.78,,,,,,,,239.76,0.357,0.408,0.051,0.561,12.602,0.459,0.102,21.622,0.14,0.08,76.923,1.327,0.153,0.0,70.122,0.0,0.306,0.102,0.51,,,0.544
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,23/24,6.78,22.0,726.0,3.0,1.0,33.0,17.0,3.0,8.0,1.0,3.0,108.0,72.0,3.0,42.9,1.0,50.0,2.0,3.0,0.0,0.0,1.0,6.0,3.0,6.0,18.0,1.52,0.09,4.0,1.61,,,,,,,,149.16,0.515,0.372,0.124,0.992,13.388,0.496,0.124,15.0,1.48,0.91,85.714,1.86,0.372,0.0,69.054,0.0,0.372,0.248,0.744,,,0.367
ValenciaCF,Forward,Rafa Mir,rafa-mir,825754,24/25,6.59,19.0,648.0,1.0,2.0,26.0,8.0,4.0,2.0,2.0,1.0,119.0,76.8,4.0,57.1,2.0,40.0,0.0,1.0,0.0,0.0,6.0,10.0,4.0,6.0,10.0,2.74,0.44,3.0,3.18,,,,,,,,125.21,0.308,0.139,0.278,0.278,16.528,0.417,0.278,8.333,-1.74,1.56,62.5,2.778,0.139,0.0,58.14,0.0,0.556,0.0,0.833,,,0.379
Villarreal,Defender,Alfonso Pedraza,alfonso-pedraza,797290,16/17,6.74,37.0,2559.0,7.0,7.0,65.0,28.0,3.0,37.0,7.0,46.0,467.0,68.5,20.0,28.2,22.0,23.2,2.0,3.0,0.0,0.0,29.0,77.0,22.0,17.0,23.0,,,14.0,,,,,,,,,249.38,0.431,0.246,0.246,1.301,16.424,0.492,0.246,22.581,,,72.642,4.08,0.106,0.0,44.718,0.0,0.774,0.07,0.598,,,0.768
